id,UBX-NAV-PVT:lon,UBX-NAV-PVT:lat,UBX-NAV-PVT:height,UBX-NAV-PVT:year,UBX-NAV-PVT:month,UBX-NAV-PVT:day,UBX-NAV-PVT:hour,UBX-NAV-PVT:min,UBX-NAV-PVT:sec
6463,-17658459,537903039,222717,2022,11,14,16,38,5
6464,-17658461,537903036,222785,2022,11,14,16,38,6
6465,-17658466,537903031,222825,2022,11,14,16,38,7
6466,-17658464,537903029,222816,2022,11,14,16,38,8
6467,-17658468,537903025,222879,2022,11,14,16,38,9
6468,-17658470,537903021,222922,2022,11,14,16,38,10
6469,-17658470,537903017,223005,2022,11,14,16,38,11
6470,-17658470,537903015,223036,2022,11,14,16,38,12
6471,-17658464,537903012,223065,2022,11,14,16,38,13
6472,-17658466,537903005,223008,2022,11,14,16,38,14
6473,-17658465,537902999,222972,2022,11,14,16,38,15
6474,-17658463,537902996,222986,2022,11,14,16,38,16
6475,-17658461,537902990,223044,2022,11,14,16,38,17
6476,-17658461,537902982,223084,2022,11,14,16,38,18
6477,-17658459,537902976,223097,2022,11,14,16,38,19
6478,-17658459,537902967,223084,2022,11,14,16,38,20
6479,-17658457,537902958,223121,2022,11,14,16,38,21
6480,-17658455,537902950,222980,2022,11,14,16,38,22
6481,-17658453,537902942,222921,2022,11,14,16,38,23
6482,-17658454,537902934,222932,2022,11,14,16,38,24
6483,-17658455,537902922,223043,2022,11,14,16,38,25
6484,-17658452,537902912,223007,2022,11,14,16,38,26
6485,-17658456,537902896,223051,2022,11,14,16,38,27
6486,-17658455,537902887,222953,2022,11,14,16,38,28
6487,-17658454,537902877,222865,2022,11,14,16,38,29
6488,-17658454,537902869,222847,2022,11,14,16,38,30
6489,-17658463,537902855,222855,2022,11,14,16,38,31
6490,-17658462,537902844,222763,2022,11,14,16,38,32
6491,-17658464,537902832,222588,2022,11,14,16,38,33
6492,-17658470,537902821,222485,2022,11,14,16,38,34
6493,-17658473,537902809,222545,2022,11,14,16,38,35
6494,-17658481,537902796,222578,2022,11,14,16,38,36
6495,-17658489,537902781,222579,2022,11,14,16,38,37
6496,-17658498,537902771,222497,2022,11,14,16,38,38
6497,-17658505,537902754,222559,2022,11,14,16,38,39
6498,-17658511,537902741,222466,2022,11,14,16,38,40
6499,-17658518,537902729,222446,2022,11,14,16,38,41
6500,-17658529,537902717,222377,2022,11,14,16,38,42
6501,-17658535,537902707,222335,2022,11,14,16,38,43
6502,-17658542,537902698,222233,2022,11,14,16,38,44
6503,-17658549,537902690,222151,2022,11,14,16,38,45
6504,-17658559,537902678,221872,2022,11,14,16,38,48
6505,-17658559,537902678,221857,2022,11,14,16,38,49
6506,-17658562,537902680,221770,2022,11,14,16,38,50
6507,-17658561,537902681,221776,2022,11,14,16,38,51
6508,-17658560,537902685,221811,2022,11,14,16,38,52
6509,-17658561,537902687,221771,2022,11,14,16,38,53
