id,UBX-NAV-PVT:lon,UBX-NAV-PVT:lat,UBX-NAV-PVT:height,UBX-NAV-PVT:year,UBX-NAV-PVT:month,UBX-NAV-PVT:day,UBX-NAV-PVT:hour,UBX-NAV-PVT:min,UBX-NAV-PVT:sec
5566,-17659133,537902578,230160,2022,11,14,16,22,0
5567,-17659154,537902591,230278,2022,11,14,16,22,1
5568,-17659175,537902603,230384,2022,11,14,16,22,2
5569,-17659187,537902615,230434,2022,11,14,16,22,3
5570,-17659215,537902637,230539,2022,11,14,16,22,6
5571,-17659216,537902644,230545,2022,11,14,16,22,7
5572,-17659218,537902649,230572,2022,11,14,16,22,8
5573,-17659226,537902655,230606,2022,11,14,16,22,9
5574,-17659232,537902665,230612,2022,11,14,16,22,10
5575,-17659239,537902674,230591,2022,11,14,16,22,11
5576,-17659241,537902686,230512,2022,11,14,16,22,12
5577,-17659235,537902701,230404,2022,11,14,16,22,13
5578,-17659228,537902717,230289,2022,11,14,16,22,14
5579,-17659231,537902730,230224,2022,11,14,16,22,15
5580,-17659227,537902746,230053,2022,11,14,16,22,16
5581,-17659203,537902765,229768,2022,11,14,16,22,17
5582,-17659190,537902784,229555,2022,11,14,16,22,18
5583,-17659182,537902799,229388,2022,11,14,16,22,19
5584,-17659178,537902814,229204,2022,11,14,16,22,20
5585,-17659176,537902830,229044,2022,11,14,16,22,21
5586,-17659169,537902844,228894,2022,11,14,16,22,22
5587,-17659166,537902851,228799,2022,11,14,16,22,23
5588,-17659152,537902857,228629,2022,11,14,16,22,24
5589,-17659167,537902862,228645,2022,11,14,16,22,25
5590,-17659186,537902869,228639,2022,11,14,16,22,26
5591,-17659217,537902880,228719,2022,11,14,16,22,27
5592,-17659257,537902895,228901,2022,11,14,16,22,28
5593,-17659292,537902907,229050,2022,11,14,16,22,29
5594,-17659340,537902917,229295,2022,11,14,16,22,30
5595,-17659376,537902927,229459,2022,11,14,16,22,31
5596,-17659408,537902937,229616,2022,11,14,16,22,32
5597,-17659428,537902948,229684,2022,11,14,16,22,33
5598,-17659493,537902950,230049,2022,11,14,16,22,34
5599,-17659555,537902962,230318,2022,11,14,16,22,35
5600,-17659599,537902981,230473,2022,11,14,16,22,36
5601,-17659628,537903000,230586,2022,11,14,16,22,37
5602,-17659654,537903018,230641,2022,11,14,16,22,38
5603,-17659706,537903019,230963,2022,11,14,16,22,39
5604,-17659723,537903023,231107,2022,11,14,16,22,40
